D,d,theta,z,mu,F_aniso,F_iso,DeltaF,T_deltaF,quad_err,success,solver_message
5,3,1.5,2.0,11.296900970398347,-478.6104508324408,-478.57489325620173,-0.0355575762390572,-0.03554259817742837,0.0004026350526946665,True,The algorithm converged to the desired accuracy.
5,3,1.5,2.5,13.694011074053845,-750.1637785814783,-750.1037571852374,-0.060021396240813374,-0.05994942290063733,0.00018230978685362942,True,The algorithm converged to the desired accuracy.
5,3,1.5,3.0,16.092465265079937,-1100.7051882835758,-1100.6116128081683,-0.0935754754075333,-0.09330330152054096,0.0004934453970015795,True,The algorithm converged to the desired accuracy.
5,3,1.5,4.0,20.872647207997773,-2069.616819375574,-2069.4201569803017,-0.19666239527214202,-0.19416563612540602,0.0034801256501566513,True,The algorithm converged to the desired accuracy.
5,3,1.5,5.0,25.617446876584577,-3445.693211938481,-3445.331318491823,-0.36189344665808676,-0.34688074216136494,0.017745236405374953,True,The algorithm converged to the desired accuracy.
5,3,2.0,1.0,7.428965814796376,-220.7758015120817,-220.75813230965272,-0.017669202428976405,-0.017667363879367147,1.9585212155948106e-05,True,The algorithm converged to the desired accuracy.
5,3,2.0,1.5,9.751343457387133,-404.1613347058343,-404.12697170168906,-0.0343630041452343,-0.034349485068297485,0.0001913947303964214,True,The algorithm converged to the desired accuracy.
5,3,2.0,2.0,12.094095740620629,-658.261431418921,-658.2021830248411,-0.059248394079872924,-0.05917916331670197,0.0006108846344847763,True,The algorithm converged to the desired accuracy.
5,3,2.0,2.5,14.448801861500028,-991.7416355735689,-991.6474073562117,-0.09422821735722664,-0.09395032152388805,0.001606625540869544,True,The algorithm converged to the desired accuracy.
5,3,2.0,3.0,16.8084780322266,-1412.76598303711,-1412.6246687992207,-0.14131423788921893,-0.14038102329540356,0.0042117784929374125,True,The algorithm converged to the desired accuracy.
5,3,2.0,4.0,21.52555862530865,-2548.7036453047067,-2548.423207723798,-0.2804375809087105,-0.27331002329511067,0.022095046305821597,True,The algorithm converged to the desired accuracy.
5,3,2.0,5.0,26.225272511168633,-4127.084138911314,-4126.589509710342,-0.4946292009717581,-0.4578828359290142,0.0008348927026483599,True,The algorithm converged to the desired accuracy.
5,3,3.0,1.0,9.159228848480076,-461.4538766421509,-461.40310204356314,-0.050774598587736364,-0.050731010218349734,0.004001965250342465,True,The algorithm converged to the desired accuracy.
5,3,3.0,1.5,11.460096212346066,-755.2561353771142,-755.1693798783147,-0.08675549879956179,-0.0865384965181869,0.00012344568039398748,True,The algorithm converged to the desired accuracy.
5,3,3.0,2.0,13.761694344038887,-1136.441587977193,-1136.3053873125114,-0.13620066468160985,-0.13536466515207748,0.0002274931206113634,True,The algorithm converged to the desired accuracy.
5,3,3.0,2.5,16.06841864600876,-1613.9144439305435,-1613.7129861462622,-0.20145778428127414,-0.19877590959447902,0.00039046110597042855,True,The algorithm converged to the desired accuracy.
5,3,3.0,3.0,18.379516661919112,-2196.0281580036803,-2195.7431127174546,-0.2850452862257953,-0.27756814801339064,0.0006432993175093521,True,The algorithm converged to the desired accuracy.
5,3,3.0,4.0,23.008024032688823,-3706.102089681629,-3705.5841892215053,-0.5179004601236556,-0.47607795716954115,0.001548641453064048,True,The algorithm converged to the desired accuracy.
5,3,3.0,5.0,27.6356357241571,-5728.820167582386,-5727.962714087312,-0.857453495073969,-0.6949433215067276,0.003386072071757784,True,The algorithm converged to the desired accuracy.
5,3,4.0,1.0,10.86758863158176,-826.8471921384177,-826.731378656996,-0.11581348142169645,-0.1152984515287066,1.4197943915522648e-05,True,The algorithm converged to the desired accuracy.
5,3,4.0,1.5,13.174515081983392,-1258.549020018353,-1258.366895429207,-0.18212458914604213,-0.18013729945982956,0.0006271016259348783,True,The algorithm converged to the desired accuracy.
5,3,4.0,2.0,15.464453285042575,-1793.8883629161705,-1793.6198655394808,-0.2684973766897656,-0.26222608852649293,0.001068672394965886,True,The algorithm converged to the desired accuracy.
5,3,4.0,2.5,17.750474215323187,-2442.242500563287,-2441.8648452336133,-0.37765532967387117,-0.3606695249672433,0.0017030570346888707,True,The algorithm converged to the desired accuracy.
5,3,4.0,3.0,20.0365696830208,-3212.2256454749127,-3211.712997300386,-0.5126481745264755,-0.47200595868769885,0.0026077155797417095,True,The algorithm converged to the desired accuracy.
5,3,4.0,4.0,24.611907659529553,-5149.713862198465,-5148.84098845028,-0.8728737481851567,-0.7028312676415385,0.0055707484497213855,True,The algorithm converged to the desired accuracy.
